a0001,1
a0002,1
a0003,1
a0004,1
a0005,1
a0006,1
a0007,0
a0008,1
a0009,0
a0010,1
a0011,0
a0012,0
a0013,1
a0014,1
a0015,1
a0016,0
a0017,1
a0018,1
a0019,0
a0020,1
a0021,1
a0022,1
a0023,1
a0024,1
a0025,0
a0026,1
a0027,0
a0028,0
a0029,0
a0030,1
a0031,1
a0032,0
a0033,1
a0034,1
a0035,0
a0036,1
a0037,1
a0038,0
a0039,1
a0040,1
a0041,1
a0042,1
a0043,1
a0044,1
a0045,1
a0046,1
a0047,1
a0048,1
a0049,0
a0050,0
a0051,1
a0052,1
a0053,0
a0054,1
a0055,0
a0056,1
a0057,1
a0058,1
a0059,1
a0060,1
a0061,1
a0062,1
a0063,1
a0064,1
a0065,1
a0066,1
a0067,1
a0068,0
a0069,0
a0070,0
a0071,0
a0072,1
a0073,1
a0074,1
a0075,1
a0076,1
a0077,1
a0078,1
a0079,1
a0080,0
a0081,0
a0082,1
a0083,1
a0084,1
a0085,0
a0086,0
a0087,1
a0088,0
a0089,1
a0090,1
a0091,0
a0092,1
a0093,0
a0094,0
a0095,1
a0096,1
a0097,1
a0098,1
a0099,1
a0100,1
a0101,1
a0102,0
a0103,1
a0104,1
a0105,0
a0106,0
a0107,1
a0108,0
a0109,0
a0110,1
a0111,1
a0112,1
a0113,1
a0114,1
a0115,1
a0116,1
a0117,1
a0118,0
a0119,1
a0120,1
a0121,1
a0122,1
a0123,1
a0124,1
a0125,0
a0126,1
a0127,0
a0128,1
a0129,0
a0130,1
a0131,1
a0132,1
a0133,1
a0134,1
a0135,1
a0136,0
a0137,1
a0138,1
a0139,0
a0140,0
a0141,0
a0142,1
a0143,1
a0144,1
a0145,1
a0146,1
a0147,1
a0148,1
a0149,1
a0150,1
a0151,1
a0152,1
a0153,0
a0154,0
a0155,0
a0156,1
a0157,1
a0158,1
a0159,1
a0160,1
a0161,0
a0162,1
a0163,1
a0164,1
a0165,0
a0166,1
a0167,1
a0168,1
a0169,1
a0170,1
a0171,0
a0172,1
a0173,1
a0174,1
a0175,1
a0176,1
a0177,1
a0178,0
a0179,0
a0180,1
a0181,0
a0182,1
a0183,1
a0184,0
a0185,0
a0186,1
a0187,1
a0188,1
a0189,0
a0190,1
a0191,1
a0192,1
a0193,0
a0194,1
a0195,0
a0196,0
a0197,1
a0198,1
a0199,0
a0200,1
a0201,1
a0202,1
a0203,1
a0204,0
a0205,1
a0206,1
a0207,1
a0208,0
a0209,1
a0210,0
a0211,0
a0212,0
a0213,1
a0214,1
a0215,1
a0216,1
a0217,1
a0218,1
a0219,1
a0220,1
a0221,1
a0222,1
a0223,1
a0224,1
a0225,1
a0226,1
a0227,0
a0228,1
a0229,0
a0230,1
a0231,0
a0232,1
a0233,1
a0234,1
a0235,0
a0236,1
a0237,1
a0238,0
a0239,1
a0240,1
a0241,0
a0242,1
a0243,0
a0244,1
a0245,1
a0246,1
a0247,1
a0248,1
a0249,1
a0250,0
a0251,1
a0252,1
a0253,0
a0254,1
a0255,1
a0256,1
a0257,1
a0258,1
a0259,1
a0260,1
a0261,1
a0262,1
a0263,1
a0264,0
a0265,1
a0266,0
a0267,1
a0268,1
a0269,1
a0270,0
a0271,0
a0272,1
a0273,1
a0274,0
a0275,1
a0276,1
a0277,1
a0278,1
a0279,1
a0280,1
a0281,1
a0282,1
a0283,0
a0284,1
a0285,0
a0286,1
a0287,0
a0288,1
a0289,0
a0290,0
a0291,1
a0292,1
a0293,0
a0294,0
a0295,1
a0296,1
a0297,1
a0298,0
a0299,0
a0300,1
a0301,0
a0302,0
a0303,1
a0304,0
a0305,1
a0306,1
a0307,1
a0308,1
a0309,0
a0310,0
a0311,0
a0312,1
a0313,1
a0314,1
a0315,1
a0316,1
a0317,1
a0318,1
a0319,1
a0320,1
a0321,1
a0322,1
a0323,0
a0324,1
a0325,0
a0326,1
a0327,1
a0328,0
a0329,0
a0330,0
a0331,1
a0332,0
a0333,1
a0334,0
a0335,1
a0336,1
a0337,0
a0338,1
a0339,1
a0340,0
a0341,1
a0342,0
a0343,1
a0344,1
a0345,1
a0346,1
a0347,1
a0348,1
a0349,1
a0350,1
a0351,0
a0352,0
a0353,0
a0354,1
a0355,0
a0356,1
a0357,1
a0358,1
a0359,0
a0360,1
a0361,0
a0362,1
a0363,1
a0364,1
a0365,1
a0366,1
a0367,1
a0368,1
a0369,1
a0370,1
a0371,1
a0372,1
a0373,1
a0374,1
a0375,1
a0376,1
a0377,1
a0378,1
a0379,1
a0380,1
a0381,1
a0382,1
a0383,1
a0384,1
a0385,0
a0386,0
a0387,1
a0388,1
a0389,1
a0390,1
a0391,1
a0392,1
a0393,0
a0394,1
a0395,1
a0396,1
a0397,1
a0398,1
a0399,1
a0400,1
a0401,0
a0402,1
a0403,1
